title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Methods and datasets on semantic segmentation for Unmanned Aerial Vehicle remote sensing images: A review,"Jian Cheng, Changjian Deng, Yanzhou Su, Zeyu An, Qi Wang","J Cheng, C Deng, Y Su, Z An, Q Wang",openalex,Methods and datasets on semantic segmentation for Unmanned Aerial Vehicle remote sensing images: A review,1.000,2024,"ISPRS Journal of Photogrammetry …, 2024",https://www.sciencedirect.com/science/article/pii/S0924271624000844,Abstract Unmanned Aerial Vehicle (UAV) has seen a dramatic rise in popularity for remote-sensing image acquisition and analysis in recent years. It has brought promising results in …,Cited by 146,"https://www.gupiaoq.com/scholar?cites=13544816316714915654&as_sdt=2005&sciodt=0,5&hl=en"
Depth anything v2,"Jiashi Feng, Zilong Huang, Bingyi Kang, Xiaogang Xu, Lihe Yang, Hengshuang Zhao, Zhen Zhao","L Yang, B Kang, Z Huang, Z Zhao…",openalex,Depth Anything V2,1.000,2024,"Advances in …, 2024",https://proceedings.neurips.cc/paper_files/paper/2024/hash/26cfdcd8fe6fd75cc53e92963a656c58-Abstract-Conference.html,"Abstract This work presents Depth Anything V2. Without pursuing fancy techniques, we aim to reveal crucial findings to pave the way towards building a powerful monocular depth …",Cited by 2213,"https://www.gupiaoq.com/scholar?cites=21363675486080544&as_sdt=2005&sciodt=0,5&hl=en"
Depth anything: Unleashing the power of large-scale unlabeled data,"Lihe Yang, Bingyi Kang, Zilong Huang, Xiaogang Xu, Jiashi Feng, Hengshuang Zhao","L Yang, B Kang, Z Huang, X Xu…",openalex,Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data,1.000,2024,"Proceedings of the …, 2024",http://openaccess.thecvf.com/content/CVPR2024/html/Yang_Depth_Anything_Unleashing_the_Power_of_Large-Scale_Unlabeled_Data_CVPR_2024_paper.html,Abstract This work presents Depth Anything a highly practical solution for robust monocular depth estimation. Without pursuing novel technical modules we aim to build a simple yet …,Cited by 2432,"https://www.gupiaoq.com/scholar?cites=912794486486289026&as_sdt=2005&sciodt=0,5&hl=en"
Dust3r: Geometric 3d vision made easy,"Shuzhe Wang, Vincent Leroy, Yohann Cabon, Boris Chidlovskii, Jérôme Revaud","S Wang, V Leroy, Y Cabon…",openalex,DUSt3R: Geometric 3D Vision Made Easy,1.000,2024,"Proceedings of the …, 2024",http://openaccess.thecvf.com/content/CVPR2024/html/Wang_DUSt3R_Geometric_3D_Vision_Made_Easy_CVPR_2024_paper.html,Multi-view stereo reconstruction (MVS) in the wild requires to first estimate the camera intrinsic and extrinsic parameters. These are usually tedious and cumbersome to obtain yet …,Cited by 1639,"https://www.gupiaoq.com/scholar?cites=14449118283409278459&as_sdt=2005&sciodt=0,5&hl=en"
Repurposing diffusion-based image generators for monocular depth estimation,"Bingxin Ke, Anton Obukhov, Shengyu Huang, Nando Metzger, Rodrigo Caye Daudt, Konrad Schindler","B Ke, A Obukhov, S Huang, N Metzger…",openalex,Repurposing Diffusion-Based Image Generators for Monocular Depth Estimation,1.000,2024,"Proceedings of the …, 2024",http://openaccess.thecvf.com/content/CVPR2024/html/Ke_Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_CVPR_2024_paper.html,Monocular depth estimation is a fundamental computer vision task. Recovering 3D depth from a single image is geometrically ill-posed and requires scene understanding so it is not …,Cited by 1009,"https://www.gupiaoq.com/scholar?cites=14980301787737877929&as_sdt=2005&sciodt=0,5&hl=en"
Unidepth: Universal monocular metric depth estimation,"Luigi Piccinelli, Yung-Hsu Yang, Christos Sakaridis, Mattia Segù, Siyuan Li, Luc Van Gool, Fisher Yu","L Piccinelli, YH Yang, C Sakaridis…",openalex,UniDepth: Universal Monocular Metric Depth Estimation,1.000,2024,"Proceedings of the …, 2024",http://openaccess.thecvf.com/content/CVPR2024/html/Piccinelli_UniDepth_Universal_Monocular_Metric_Depth_Estimation_CVPR_2024_paper.html,Accurate monocular metric depth estimation (MMDE) is crucial to solving downstream tasks in 3D perception and modeling. However the remarkable accuracy of recent MMDE methods …,Cited by 480,"https://www.gupiaoq.com/scholar?cites=14879970238027697730&as_sdt=2005&sciodt=0,5&hl=en"
Zoedepth: Zero-shot transfer by combining relative and metric depth,"Shariq Farooq Bhat, Reiner Birkl, Diana Wofk, Peter Wonka, Matthias Müller","SF Bhat, R Birkl, D Wofk, P Wonka, M Müller",openalex,ZoeDepth: Zero-shot Transfer by Combining Relative and Metric Depth,1.000,2023,"arXiv preprint arXiv …, 2023",https://arxiv.org/abs/2302.12288,"This paper tackles the problem of depth estimation from a single image. Existing work either focuses on generalization performance disregarding metric scale, ie relative depth …",Cited by 1114,"https://www.gupiaoq.com/scholar?cites=294169465896214174&as_sdt=2005&sciodt=0,5&hl=en"
NTIRE 2023 challenge on image super-resolution (x4): Methods and results,"Yulun Zhang, Kai Zhang, Zheng Chen, Yawei Li, Radu Timofte, Junpei Zhang, Kexin Zhang, Rui Peng, Yanbiao Ma, Licheng Jia, Huaibo Huang, Xiaoqiang Zhou, Yuang Ai, Ran He, Yajun Qiu, Qiang Zhu, Pengfei Li, Qianhui Li, Shuyuan Zhu, Dafeng Zhang, Jia Li, Fan Wang, Chunmiao Li, TaeHyung Kim, Jungkeong Kil, Eon Kim, Yeonseung Yu, Beomyeol Lee, Subin Lee, Seokjae Lim, Somi Chae, Heungjun Choi, ZhiKai Huang, YiChung Chen, YuanChun Chiang, HaoHsiang Yang, WeiTing Chen, HuaEn Chang, I-Hsiang Chen, ChiaHsuan Hsieh, SyYen Kuo, Ui-Jin Choi, Marcos V. Conde, Sunder Ali Khowaja, Jiseok Yoon, Ik Hyun Lee, Garas Gendy, Nabil Sabor, Jingchao Hou, Guanghui He, Zhao Zhang, Baiang Li, Huan Zheng, Suiyi Zhao, Yangcheng Gao, Yanyan Wei, Jiahuan Ren, Jiayu Wei, Yanfeng Li, Jia Sun, Zhanyi Cheng, Zhiyuan Li, Xu Yao, Xinyi Wang, Danxu Li, Xuan Cui, Jun Cao, Cheng Li, Jianbin Zheng, Anjali Sarvaiya, Kalpesh Prajapati, Ratnadeep Patra, Pragnesh Barik, Chaitanya Rathod, Kishor Upla, Kiran Raja, Raghavendra Ramachandra, Christoph Busch","Y Zhang, K Zhang, Z Chen, Y Li…",crossref,NTIRE 2023 Challenge on Image Super-Resolution (×4): Methods and Results,0.993,2023,"Proceedings of the …, 2023",https://openaccess.thecvf.com/content/CVPR2023W/NTIRE/html/Zhang_NTIRE_2023_Challenge_on_Image_Super-Resolution_x4_Methods_and_Results_CVPRW_2023_paper.html,"This paper reviews the NTIRE 2023 challenge on image super-resolution (x4), focusing on the proposed solutions and results. The task of image super-resolution (SR) is to generate a …",Cited by 80,"https://www.gupiaoq.com/scholar?cites=15093142350353720195&as_sdt=2005&sciodt=0,5&hl=en"
Metric3d: Towards zero-shot metric 3d prediction from a single image,"Wei Yin, Chi Zhang, Hao Chen, Zhipeng Cai, Gang Yu, Kaixuan Wang, Xiaozhi Chen, Chunhua Shen","W Yin, C Zhang, H Chen, Z Cai, G Yu…",openalex,Metric3D: Towards Zero-shot Metric 3D Prediction from A Single Image,1.000,2023,"Proceedings of the …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Yin_Metric3D_Towards_Zero-shot_Metric_3D_Prediction_from_A_Single_Image_ICCV_2023_paper.html,"Reconstructing accurate 3D scenes from images is a long-standing vision task. Due to the ill-posedness of the single-image reconstruction problem, most well-established methods are …",Cited by 488,"https://www.gupiaoq.com/scholar?cites=16520200053042706602&as_sdt=2005&sciodt=0,5&hl=en"
Surroundocc: Multi-camera 3d occupancy prediction for autonomous driving,"Yi Wei, Linqing Zhao, Wenzhao Zheng, Zheng Zhu, Jie Zhou, Jiwen Lu","Y Wei, L Zhao, W Zheng, Z Zhu…",openalex,SurroundOcc: Multi-Camera 3D Occupancy Prediction for Autonomous Driving,1.000,2023,"Proceedings of the …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Wei_SurroundOcc_Multi-camera_3D_Occupancy_Prediction_for_Autonomous_Driving_ICCV_2023_paper.html,"Abstract 3D scene understanding plays a vital role in vision-based autonomous driving. While most existing methods focus on 3D object detection, they have difficulty describing …",Cited by 511,"https://www.gupiaoq.com/scholar?cites=8278113268957015843&as_sdt=2005&sciodt=0,5&hl=en"
