title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Grounding creativity in physics: A brief survey of physical priors in aigc,"Siwei Meng, Yawei Luo, Ping Liu","S Meng, Y Luo, P Liu",openalex,Grounding Creativity in Physics: A Brief Survey of Physical Priors in AIGC,1.000,2025,"arXiv preprint arXiv:2502.07007, 2025",https://arxiv.org/abs/2502.07007,"Recent advancements in AI-generated content have significantly improved the realism of 3D and 4D generation. However, most existing methods prioritize appearance consistency …",Cited by 20,"https://www.gupiaoq.com/scholar?cites=8561938263046965766&as_sdt=2005&sciodt=0,5&hl=en"
Physmotion: Physics-grounded dynamics from a single image,"Xiyang Tan, Ying Jiang, Xuan Li, Zeshun Zong, Tianyi Xie, Yin Yang, Chenfanfu Jiang","X Tan, Y Jiang, X Li, Z Zong, T Xie…",openalex,PhysMotion: Physics-Grounded Dynamics From a Single Image,1.000,2026,"… Conference on 3D …, 2026",https://ieeexplore.ieee.org/abstract/document/11533261/,"We introduce PhysMotion, a novel framework that leverages principled physics-based simulations to guide intermediate 3D representations generated from a single image and …",Cited by 39,"https://www.gupiaoq.com/scholar?cites=16641106023259489517&as_sdt=2005&sciodt=0,5&hl=en"
Freegave: 3D physics learning from dynamic videos by Gaussian velocity,"Jinxi Li, Ziyang Song, Siyuan Zhou, Bo Yang","J Li, Z Song, S Zhou, B Yang",openalex,FreeGave: 3D Physics Learning from Dynamic Videos by Gaussian Velocity,1.000,2025,"Proceedings of the IEEE/CVF …, 2025",http://openaccess.thecvf.com/content/CVPR2025/html/Li_FreeGave_3D_Physics_Learning_from_Dynamic_Videos_by_Gaussian_Velocity_CVPR_2025_paper.html,"In this paper, we aim to model 3D scene geometry, appearance, and the underlying physics purely from multi-view videos. By applying various governing PDEs as PINN losses or …",Cited by 10,"https://www.gupiaoq.com/scholar?cites=17754806861945656561&as_sdt=2005&sciodt=0,5&hl=en"
Generative physical ai in vision: A survey,"Liu, Daochang, Zhang, Junyu, Dinh, Anh-Dung, Park, Eunbyung, Zhang, Shichao, Mian, Ajmal, Shah, Mubarak, Xu, Chang","D Liu, J Zhang, AD Dinh, E Park, S Zhang…",page-meta,Generative Physical AI in Vision: A Survey,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2501.10928,Generative Artificial Intelligence (AI) has rapidly advanced the field of computer vision by enabling machines to create and interpret visual data with unprecedented sophistication …,Cited by 41,"https://www.gupiaoq.com/scholar?cites=16698017002922752613&as_sdt=2005&sciodt=0,5&hl=en"
Seeing the wind from a falling leaf,"Zhiyuan Gao, J. Mao, Haiqiu Yu, Lou, Haozhe, Emily Yue-Ting Jia, Jernej Barbič, Jiajun Wu, Yue Wang","Z Gao, J Mao, HX Yu, H Lou, E Jia…",openalex,Seeing the Wind from a Falling Leaf,1.000,2026,"Advances in …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/45197f019e9c0a5933a2277f700cab4b-Abstract-Conference.html,"A longstanding goal in computer vision is to model motions from videos, while the representations behind motions, ie the invisible physical interactions that cause objects to …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=3692169766205600855&as_sdt=2005&sciodt=0,5&hl=en"
Decoupledgaussian: Object-scene decoupling for physics-based interaction,"Miaowei Wang, Yibo Zhang, Weiwei Xu, Rui Ma, Changqing Zou, Daniel Morris","M Wang, Y Zhang, W Xu, R Ma…",openalex,DecoupledGaussian: Object-Scene Decoupling for Physics-Based Interaction,1.000,2025,"Proceedings of the …, 2025",http://openaccess.thecvf.com/content/CVPR2025/html/Wang_DecoupledGaussian_Object-Scene_Decoupling_for_Physics-Based_Interaction_CVPR_2025_paper.html,"We present DecoupledGaussian, a novel system that decouples static objects from their contacted surfaces captured in-the-wild videos, a key prerequisite for realistic Newtonian …",Cited by 11,"https://www.gupiaoq.com/scholar?cites=15693351316989799354&as_sdt=2005&sciodt=0,5&hl=en"
Mpmavatar: Learning 3d gaussian avatars with accurate and robust physics-based dynamics,"Changmin Lee, Ji‐Hyun Lee, Taekyun Kim","C Lee, J Lee, TK Kim",openalex,MPMAvatar: Learning 3D Gaussian Avatars with Accurate and Robust Physics-Based Dynamics,1.000,2026,"Advances in Neural Information …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/ccdfe117c6729267c1595cdf0a587da8-Abstract-Conference.html,"While there has been significant progress in the field of 3D avatar creation from visual observations, modeling physically plausible dynamics of humans with loose garments …",Cited by 5,"https://www.gupiaoq.com/scholar?cites=18171805626784057594&as_sdt=2005&sciodt=0,5&hl=en"
PhysGM: Large Physical Gaussian Model for Feed-Forward 4D Synthesis,"Chenyang Lv, Zequn Chen, Donglin Di, Weinan Zhang, Hao Li, Wei Chen, Changsheng Li, Li, Changsheng","C Lv, Z Chen, D Di, W Zhang, H Li…",openalex,PhysGM: Large Physical Gaussian Model for Feed-Forward 4D Synthesis,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Lv_PhysGM_Large_Physical_Gaussian_Model_for_Feed-Forward_4D_Synthesis_CVPR_2026_paper.html,"Despite advances in physics-based 3D motion synthesis, current methods face key limitations: reliance on pre-reconstructed 3D Gaussian Splatting (3DGS) built from dense …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=11328635983406497323&as_sdt=2005&sciodt=0,5&hl=en"
Gaussianproperty: Integrating physical properties to 3d gaussians with lmms,"Xinli Xu, Wenhang Ge, Dicong Qiu, ZhiFei Chen, Dongyu Yan, Zhuoyun Liu, Haoyu Zhao, Haiyun Zhao, Shunsi Zhang, Junwei Liang, Ying-Cong Chen","X Xu, W Ge, D Qiu, ZF Chen, D Yan…",openalex,GaussianProperty: Integrating Physical Properties to 3D Gaussians with LMMs,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Xu_GaussianProperty_Integrating_Physical_Properties_to_3D_Gaussians_with_LMMs_ICCV_2025_paper.html,"Estimating physical properties for visual data is a crucial task in computer vision, graphics, and robotics, underpinning applications such as augmented reality, physical simulation, and …",Cited by 22,"https://www.gupiaoq.com/scholar?cites=7115142965414486658&as_sdt=2005&sciodt=0,5&hl=en"
Gaussian-Augmented Physics Simulation and System Identification with Complex Colliders,"Vasile, Federico, Qiu, Ri-Zhao, Natale, Lorenzo, Wang, Xiaolong","F Vasile, RZ Qiu, L Natale…",page-meta,Gaussian-Augmented Physics Simulation and System Identification with Complex Colliders,1.000,2026,"Advances in Neural …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/91ed94fc04f9da4a2e3e5382c56c93aa-Abstract-Conference.html,"Abstract System identification involving the geometry, appearance, and physical properties from video observations is a challenging task with applications in robotics and graphics …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=3306755735474373873&as_sdt=2005&sciodt=0,5&hl=en"
