title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Finerecon: Depth-aware feed-forward network for detailed 3d reconstruction,"Noah Stier, Anurag Ranjan, Alex Colburn, Yajie Yan, Liang Yang, Fangchang Ma, Baptiste Angles","N Stier, A Ranjan, A Colburn, Y Yan…",openalex,FineRecon: Depth-aware Feed-forward Network for Detailed 3D Reconstruction,1.000,2023,"Proceedings of the …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Stier_FineRecon_Depth-aware_Feed-forward_Network_for_Detailed_3D_Reconstruction_ICCV_2023_paper.html,Recent works on 3D reconstruction from posed images have demonstrated that direct inference of scene-level 3D geometry without test-time optimization is feasible using deep …,Cited by 40,"https://www.gupiaoq.com/scholar?cites=4246197855645049066&as_sdt=2005&sciodt=0,5&hl=en"
G-adapter: Towards structure-aware parameter-efficient transfer learning for graph transformer networks,"Anchun Gui, Jinqiang Ye, Han Xiao","A Gui, J Ye, H Xiao",openalex,G-Adapter: Towards Structure-Aware Parameter-Efficient Transfer Learning for Graph Transformer Networks,1.000,2024,"Proceedings of the AAAI Conference on Artificial …, 2024",https://ojs.aaai.org/index.php/AAAI/article/view/29112,It has become a popular paradigm to transfer the knowledge of large-scale pre-trained models to various downstream tasks via fine-tuning the entire model parameters. However …,Cited by 45,"https://www.gupiaoq.com/scholar?cites=16454084294045588574&as_sdt=2005&sciodt=0,5&hl=en"
Cvrecon: Rethinking 3d geometric feature learning for neural reconstruction,"Ziyue Feng, Liang Yang, Pengsheng Guo, Bing Li","Z Feng, L Yang, P Guo, B Li",openalex,CVRecon: Rethinking 3D Geometric Feature Learning For Neural Reconstruction,1.000,2023,"Proceedings of the IEEE/CVF …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Feng_CVRecon_Rethinking_3D_Geometric_Feature_Learning_For_Neural_Reconstruction_ICCV_2023_paper.html,"Recent advances in neural reconstruction using posed image sequences have made remarkable progress. However, due to the lack of depth information, existing volumetric …",Cited by 37,"https://www.gupiaoq.com/scholar?cites=10837944987819337112&as_sdt=2005&sciodt=0,5&hl=en"
CBAM-optimized automatic segmentation and reconstruction system for monocular images with asphalt pavement potholes,"Jiaxiu Dong, Niannian Wang, Hongyuan Fang, Yibo Shen, Bin Li, Danyang Di, Kejie Zhai","J Dong, N Wang, H Fang, Y Shen, B Li…",openalex,CBAM-Optimized Automatic Segmentation and Reconstruction System for Monocular Images With Asphalt Pavement Potholes,1.000,2024,"IEEE Transactions on …, 2024",https://ieeexplore.ieee.org/abstract/document/10414375/,"Rapid and accurate three-dimensional (3D) detection of asphalt pavement pothole damage is crucial for pavement performance and quality evaluation. However, existing 3D …",Cited by 20,"https://www.gupiaoq.com/scholar?cites=14892205610052523085&as_sdt=2005&sciodt=0,5&hl=en"
Generalized deep aerial Multi-view Stereo network based on gradient balance masked representation learning,"Shichao Wang, Mingxing Jia, Shijie Chang, Dapeng Niu","S Wang, M Jia, S Chang, D Niu",openalex,Generalized deep aerial Multi-view Stereo network based on gradient balance masked representation learning,1.000,2025,"Knowledge-Based Systems, 2025",https://www.sciencedirect.com/science/article/pii/S0950705125009566,"Unmanned aerial vehicle (UAV)-based ground scanning and 3D reconstruction can rapidly build terrain-awareness systems, providing essential data for regional planning, safety …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=10074807252361786816&as_sdt=2005&sciodt=0,5&hl=en"
A hybrid architecture of sparse convolutional neural network-transformer for enhanced spatial-geometric feature learning in surface reconstruction,"Mingyang Li, Wei Zhang, Yanyan Liu, Xiang Feng, Changsong Liu, Yimeng Fan, Lixue Xu","M Li, W Zhang, Y Liu, X Feng, C Liu, Y Fan…",openalex,A hybrid architecture of sparse convolutional neural network-transformer for enhanced spatial-geometric feature learning in surface reconstruction,1.000,2025,"… Applications of Artificial …, 2025",https://www.sciencedirect.com/science/article/pii/S0952197625005500,"Learning-based methods have garnered significant attention in indoor scene reconstruction tasks. However, researchers have often overlooked the crucial role of the surface prediction …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=17952922311307929179&as_sdt=2005&sciodt=0,5&hl=en"
Neural implicit representations for multi-view surface reconstruction: A survey,"Xinyun Zhang, Ruiqi Yu, Shuang Ren","X Zhang, R Yu, S Ren",crossref,Neural Implicit Representations for Multi-View Surface Reconstruction: A Survey,1.000,2025,"IEEE Transactions on Visualization and …, 2025",https://ieeexplore.ieee.org/abstract/document/11051009/,"Diverging from conventional explicit geometric representations, neural implicit representations utilize continuous function approximators to encode 3D surfaces through …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=239150142698622833&as_sdt=2005&sciodt=0,5&hl=en"
GaussFiller: Unleashing VLM-Expert Guidance for 3D Scene Completion with 3D Gaussian Splatting,"Ping, Yuhan, Lin, Cheng, Liu, Yuan, Dou, Zhiyang, Pan, Jia, Wang, Wenping","Y Ping, C Lin, Y Liu, Z Dou, J Pan…",page-meta,GaussFiller: Unleashing VLM-Expert Guidance for 3D Scene Completion with 3D Gaussian Splatting,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026F/html/Ping_GaussFiller_Unleashing_VLM-Expert_Guidance_for_3D_Scene_Completion_with_3D_CVPRF_2026_paper.html,"Due to unavoidable view constraints and occlusions during capture, achieving visually complete scene reconstruction has always been a challenging task. We introduce …",,
Eprecon: An efficient framework for real-time panoptic 3d reconstruction from monocular video,"Zhen Zhou, Yunkai Ma, Junfeng Fan, Shaolin Zhang, Fengshui Jing, Min Tan","Z Zhou, Y Ma, J Fan, S Zhang, F Jing…",openalex,EPRecon: An Efficient Framework for Real-Time Panoptic 3D Reconstruction from Monocular Video,1.000,2025,"2025 IEEE International …, 2025",https://ieeexplore.ieee.org/abstract/document/11128258/,"Panoptic 3D reconstruction from a monocular video is a fundamental perceptual task in robotic scene understanding. However, existing efforts suffer from inefficiency in terms of …",Cited by 9,"https://www.gupiaoq.com/scholar?cites=4406959769614564498&as_sdt=2005&sciodt=0,5&hl=en"
Odd-one-out: anomaly detection by comparing with neighbors,"Ankan Kumar Bhunia, Changjian Li, Hakan Bilen","A Bhunia, C Li, H Bilen",openalex,Odd-One-Out: Anomaly Detection by Comparing with Neighbors,1.000,2025,"… of the Computer Vision and Pattern …, 2025",http://openaccess.thecvf.com/content/CVPR2025/html/Bhunia_Odd-One-Out_Anomaly_Detection_by_Comparing_with_Neighbors_CVPR_2025_paper.html,This paper introduces a novel anomaly detection (AD) problem aimed at identifyingodd-looking'objects within a scene by comparing them to other objects present. Unlike traditional …,Cited by 5,"https://www.gupiaoq.com/scholar?cites=4706829274724223253&as_sdt=2005&sciodt=0,5&hl=en"
