title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
"Rethinking diffusion for text-driven human motion generation: Redundant representations, evaluation, and masked autoregression","Zichong Meng, Yiming Xie, Xiaogang Peng, Zeyu Han, Huaizu Jiang","Z Meng, Y Xie, X Peng, Z Han…",crossref,"Rethinking Diffusion for Text-Driven Human Motion Generation: Redundant Representations, Evaluation, and Masked Autoregression",1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/CVPR2025/html/Meng_Rethinking_Diffusion_for_Text-Driven_Human_Motion_Generation_Redundant_Representations_Evaluation_CVPR_2025_paper.html,"Abstract Since 2023, Vector Quantization (VQ)-based discrete generation methods have rapidly dominated human motion generation, primarily surpassing diffusion-based …",Cited by 84,"https://www.gupiaoq.com/scholar?cites=1068220136693062293&as_sdt=2005&sciodt=0,5&hl=en"
Interdreamer: Zero-shot text to 3d dynamic human-object interaction,"Liang-Yan Gui, Yu-Xiong Wang, Ziyin Wang, Sirui Xu","S Xu, Z Wang, YX Wang, LY Gui",openalex,InterDreamer: Zero-Shot Text to 3D Dynamic Human-Object Interaction,1.000,2024,"Advances in Neural …, 2024",https://proceedings.neurips.cc/paper_files/paper/2024/hash/5eca2e4fe7858cbbfef4e08573cfcb25-Abstract-Conference.html,Text-conditioned human motion generation has experienced significant advancements with diffusion models trained on extensive motion capture data and corresponding textual …,Cited by 70,"https://www.gupiaoq.com/scholar?cites=13143596872347893864&as_sdt=2005&sciodt=0,5&hl=en"
Flashmo: Geometric interpolants and frequency-aware sparsity for scalable efficient motion generation,"Zhang, Zeyu, Wang, Yiran, Li, Danning, Gong, Dong, Reid, Ian, Hartley, Richard","Z Zhang, Y Wang, D Li, D Gong…",page-meta,FlashMo: Geometric Interpolants and Frequency-Aware Sparsity for Scalable Efficient Motion Generation,1.000,2026,"Advances in Neural …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/306264db5698839230be3642aafc849c-Abstract-Conference.html,"Diffusion models have recently advanced 3D human motion generation by producing smoother and more realistic sequences from natural language. However, existing …",Cited by 10,"https://www.gupiaoq.com/scholar?cites=3636224454745705145&as_sdt=2005&sciodt=0,5&hl=en"
Motion anything: Any to motion generation,"Zhang, Zeyu, Wang, Yiran, Mao, Wei, Li, Danning, Zhao, Rui, Wu, Biao, Song, Zirui, Zhuang, Bohan, Reid, Ian, Hartley, Richard","Z Zhang, Y Wang, W Mao, D Li, R Zhao, B Wu…",page-meta,Motion Anything: Any to Motion Generation,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2503.06955,"Conditional motion generation has been extensively studied in computer vision, yet two critical challenges remain. First, while masked autoregressive methods have recently …",Cited by 43,"https://www.gupiaoq.com/scholar?cites=7648302383819806567&as_sdt=2005&sciodt=0,5&hl=en"
Vimorag: Video-based retrieval-augmented 3d motion generation for motion language models,"Xu, Haidong, Xu, Guangwei, Zheng, Zhedong, Zhu, Xiatian, Ji, Wei, Li, Xiangtai, Guo, Ruijie, Zhang, Meishan, zhang, Min, Fei, Hao","H Xu, G Xu, Z Zheng, X Zhu, W Ji, X Li…",page-meta,VimoRAG: Video-based Retrieval-augmented 3D Motion Generation for Motion Language Models,1.000,2026,"Advances in …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/312237ba5de457df7bc8f88d4de21c4c-Abstract-Conference.html,"This paper introduces VimoRAG, a novel video-based retrieval-augmented motion generation framework for motion large language models (LLMs). As motion LLMs face …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=2708228281845131930&as_sdt=2005&sciodt=0,5&hl=en"
MoLingo: Motion-Language Alignment for Text-to-Human Motion Generation,"Yannan He, Garvita Tiwari, Xiaohan Zhang, Bora, Pankaj, Tolga Birdal, Jan Eric Lenssen, Gerard Pons‐Moll","Y He, G Tiwari, X Zhang, P Bora…",openalex,MoLingo: Motion-Language Alignment for Text-to-Motion Generation,0.955,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/He_MoLingo_Motion-Language_Alignment_for_Text-to-Human_Motion_Generation_CVPR_2026_paper.html,"We introduce MoLingo, a text-to-motion (T2M) model that generates realistic, lifelike human motion by denoising in a continuous latent space. Recent works perform latent space …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=8112545472154922589&as_sdt=2005&sciodt=0,5&hl=en"
ReAlign: text-to-motion generation via step-aware reward-guided alignment,"Wanjiang Weng, Xiaofeng Tan, Junbo Wang, Guo-Sen Xie, Pan Zhou, Hongsong Wang","W Weng, X Tan, J Wang, GS Xie, P Zhou…",openalex,ReAlign: Text-to-Motion Generation via Step-Aware Reward-Guided Alignment,1.000,2026,"Proceedings of the AAAI …, 2026",https://ojs.aaai.org/index.php/AAAI/article/view/38035,"Text-to-motion generation, which synthesizes 3D human motions from text inputs, holds immense potential for applications in gaming, film, and robotics. Recently, diffusion-based …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=13517821652324503973&as_sdt=2005&sciodt=0,5&hl=en"
Interact2ar: Full-body human-human interaction generation via autoregressive diffusion models,"Pablo Ruiz-Ponce, Sergio Escalera, José García-Rodríguez, Jiankang Deng, Rolandos Alexandros Potamias","P Ruiz-Ponce, S Escalera…",openalex,Interact2Ar: Full-Body Human-Human Interaction Generation via Autoregressive Diffusion Models,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Ruiz-Ponce_Interact2Ar_Full-Body_Human-Human_Interaction_Generation_via_Autoregressive_Diffusion_Models_CVPR_2026_paper.html,"Generating realistic human-human interactions is a challenging task that requires not only high-quality individual body and hand motions, but also coherent coordination among all …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=16077838420252510530&as_sdt=2005&sciodt=0,5&hl=en"
Absolute coordinates make motion generation easy,"Meng, Zichong, Han, Zeyu, Peng, Xiaogang, Xie, Yiming, Jiang, Huaizu","Z Meng, Z Han, X Peng, Y Xie, H Jiang",page-meta,Absolute Coordinates Make Motion Generation Easy,1.000,2025,"arXiv preprint arXiv:2505.19377, 2025",https://arxiv.org/abs/2505.19377,"State-of-the-art text-to-motion generation models rely on the kinematic-aware, local-relative motion representation popularized by HumanML3D, which encodes motion relative to the …",Cited by 21,"https://www.gupiaoq.com/scholar?cites=6488760396499780214&as_sdt=2005&sciodt=0,5&hl=en"
Learning Human Motion with Temporally Conditional Mamba,"Van-Quang Nguyen, Quang-Tri Le, Baoru Huang, Minh Nhat Vu, Ngan Le, Thieu N. Vo, Anh Nguyen","Q Nguyen, T Le, B Huang, MN Vu, N Le, T Vo…",openalex,Learning Human Motion with Temporally Conditional Mamba,1.000,2025,"Proceedings of the …, 2025",https://dl.acm.org/doi/abs/10.1145/3757377.3763948,Learning human motion based on a time-dependent input signal presents a challenging yet impactful task with various applications. The goal of this task is to generate or estimate …,Cited by 2,"https://www.gupiaoq.com/scholar?cites=15863421591684790585&as_sdt=2005&sciodt=0,5&hl=en"
