title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Avat3r: Large animatable gaussian reconstruction model for high-fidelity 3d head avatars,"Tobias Kirschstein, Javier Romero, Artem Sevastopolsky, Matthias Nießner, Shunsuke Saito","T Kirschstein, J Romero…",openalex,Avat3r: Large Animatable Gaussian Reconstruction Model for High-Fidelity 3D Head Avatars,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Kirschstein_Avat3r_Large_Animatable_Gaussian_Reconstruction_Model_for_High-fidelity_3D_Head_ICCV_2025_paper.html,"Traditionally, creating photo-realistic 3D head avatars requires a studio-level multi-view capture setup and expensive optimization during test-time, limiting the use of digital human …",Cited by 37,"https://www.gupiaoq.com/scholar?cites=11893339100697182413&as_sdt=2005&sciodt=0,5&hl=en"
Flexavatar: Learning complete 3d head avatars with partial supervision,"Kirschstein, Tobias, Giebenhain, Simon, Nießner, Matthias","T Kirschstein, S Giebenhain…",openalex,FlexAvatar: Learning Complete 3D Head Avatars with Partial Supervision,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Kirschstein_FlexAvatar_Learning_Complete_3D_Head_Avatars_with_Partial_Supervision_CVPR_2026_paper.html,"We introduce FlexAvatar, a method for creating high-quality and complete 3D head avatars from a single image. A core challenge lies in the limited availability of multi-view data and …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=289116811733594149&as_sdt=2005&sciodt=0,5&hl=en"
Perchead: Perceptual head model for single-image 3d head reconstruction & editing,"Oroz, Antonio, Nießner, Matthias, Kirschstein, Tobias","A Oroz, M Nießner…",openalex,PercHead: Perceptual Head Model for Single-Image 3D Head Reconstruction & Editing,1.000,2026,"Proceedings of the IEEE …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Oroz_PercHead_Perceptual_Head_Model_for_Single-Image_3D_Head_Reconstruction__CVPR_2026_paper.html,"We present PercHead, a model for single-image 3D head reconstruction and disentangled 3D editing-two tasks that are inherently challenging due to ambiguity in plausible …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=17052793194727192440&as_sdt=2005&sciodt=0,5&hl=en"
AvatarPointillist: AutoRegressive 4D Gaussian Avatarization,"Hongyu Liu, Xuan Wang, Yating Wang, Zijian Wu, Ziyu Wan, Yue Ma, Runtao Liu, Boyao Zhou, Yujun Shen, Qifeng Chen","H Liu, X Wang, Z Wu, Y Wang, Z Wan…",openalex,AvatarPointillist: AutoRegressive 4D Gaussian Avatarization,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Liu_AvatarPointillist_AutoRegressive_4D_Gaussian_Avatarization_CVPR_2026_paper.html,"We introduce AvatarPointillist, a novel framework for generating dynamic 4D Gaussian avatars from a single portrait image. At the core of our method is a decoder-only Transformer …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=8854046122596094681&as_sdt=2005&sciodt=0,5&hl=en"
Bringing your portrait to 3d presence,"Jiawei Zhang, Lei Chu, Jiahao Li, Z Zang, C.‐J. LI, Xiao Li, Xun Cao, Hao Zhu, Yan Lu","J Zhang, L Chu, J Li, Z Zang, C Li, X Li…",openalex,Bringing Your Portrait to 3D Presence,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Bringing_Your_Portrait_to_3D_Presence_CVPR_2026_paper.html,"We present a unified framework for reconstructing animatable 3D human avatars from a single portrait across head, half-body, and full-body inputs. Our method tackles three …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=6466598802572149005&as_sdt=2005&sciodt=0,5&hl=en"
Vasa-3d: Lifelike audio-driven gaussian head avatars from a single image,"Sicheng Xu, Guojun Chen, Jiaolong Yang, Yizhong Zhang, Yu Deng, Steve Lin, Baining Guo","S Xu, G Chen, J Yang, Y Zhang…",openalex,VASA-3D: Lifelike Audio-Driven Gaussian Head Avatars from a Single Image,1.000,2026,"Advances in Neural …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/dd7dde414b41dd1f0c2128a1bc856943-Abstract-Conference.html,"We propose VASA-3D, an audio-driven, single-shot 3D head avatar generator. This research tackles two major challenges: capturing the subtle expression details present in …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=12528641463371074416&as_sdt=2005&sciodt=0,5&hl=en"
Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining,"Junxuan Li, Rawal Khirodkar, Chengan He, Zhongshi Jiang, Giljoo Nam, Lingchen Yang, Jihyun Lee, Egor Zakharov, Zhaoen Su, Rinat Abdrashitov, Yuan Dong, Julieta Martínez, Kai Li, Qingyang Tan, Takaaki Shiratori, Matthew Hu, Peihong Guo, Xuhua Huang, Ariyan Zarei, Marco Pesavento, Yichen Xu, He Wen, Teng Deng, Wyatt Borsos, Anjali Thakrar, Jean‐Charles Bazin, Carsten Stoll, Gines Hidalgo, James G. Booth, Lucy Wang, Xiaowen Ma, Yu Rong, Sairanjith Thalanki, Chen Cao, Christian Häne, Abhishek Kar, Sofien Bouaziz, Jason Saragih, Yaser Sheikh, Shunsuke Saito","J Li, R Khirodkar, E Zakharov, J Lee…",openalex,Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Li_Large-scale_Codec_Avatars_The_Unreasonable_Effectiveness_of_Large-scale_Avatar_Pretraining_CVPR_2026_paper.html,"High-quality 3D avatar modeling faces a critical trade-off between fidelity and generalization. On the one hand, multi-view studio data enables high-fidelity modeling of humans with …",,
Feed-forward Gaussian Registration for Head Avatar Creation and Editing,"Malte Prinzler, Paulo Gotardo, Siyu Tang, Timo Bolkart","M Prinzler, P Gotardo, S Tang…",openalex,Feed-forward Gaussian Registration for Head Avatar Creation and Editing,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Prinzler_Feed-forward_Gaussian_Registration_for_Head_Avatar_Creation_and_Editing_CVPR_2026_paper.html,"We present MATCH (Multi-view Avatars from Topologically Corresponding Heads), a multi-view Gaussian registration method for high-quality head avatar creation and editing. State-of …",,
OMG-Avatar: One-shot Multi-LOD Gaussian Head Avatar,"Jianqiang Ren, Lin Liu, Steven Hoi","J Ren, L Liu, S Hoi",openalex,OMG-Avatar: One-shot Multi-LOD Gaussian Head Avatar,1.000,2026,"… of the IEEE/CVF Conference on …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Ren_OMG-Avatar_One-shot_Multi-LOD_Gaussian_Head_Avatar_CVPR_2026_paper.html,"We propose OMG-Avatar, a novel One-shot method that leverages a Multi-LOD (Level-of-Detail) Gaussian representation for animatable 3D head reconstruction from a single image …",,
AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment,"Yongming Li, Ling Ling, Yunpeng Song, Yun Huang, Zhongmin Cai","Y Li, L Ling, Y Song, Y Huang, Z Cai",openalex,AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment,1.000,2026,"… of the 2026 CHI Conference on …, 2026",https://dl.acm.org/doi/abs/10.1145/3772318.3790406,"Immersive technologies are increasingly applied in therapeutic and well-being practices, yet most AR systems focus on dyadic client–avatar interactions and overlook richer therapeutic …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=1396126715624577375&as_sdt=2005&sciodt=0,5&hl=en"
