title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Bridging the metrics gap in image style transfer: A comprehensive survey of models and criteria,"Xiaotong Zhou, Yuhui Zheng, Junming Yang","X Zhou, Y Zheng, J Yang",openalex,Bridging the metrics gap in image style transfer: A comprehensive survey of models and criteria,1.000,2025,"Neurocomputing, 2025",https://www.sciencedirect.com/science/article/pii/S092523122500102X,"Image style transfer is a technique that combines the content of a real photograph with the artistic style of another image to create a new and stylized image. In this paper, we aim to …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=15651376089255393875&as_sdt=2005&sciodt=0,5&hl=en"
LAM: large avatar model for one-shot animatable gaussian head,"Yisheng He, Xiaodong Gu, X.W. Ye, Chao Xu, Zhengyi Zhao, Yuan Dong, Weihao Yuan, Zilong Dong, Liefeng Bo","Y He, X Gu, X Ye, C Xu, Z Zhao, Y Dong…",openalex,LAM: Large Avatar Model for One-shot Animatable Gaussian Head,1.000,2025,"Proceedings of the …, 2025",https://dl.acm.org/doi/abs/10.1145/3721238.3730706,"We present LAM, an innovative L arge A vatar M odel for animatable Gaussian head reconstruction from a single image. Unlike previous methods that require extensive training …",Cited by 40,"https://www.gupiaoq.com/scholar?cites=12539872877635325564&as_sdt=2005&sciodt=0,5&hl=en"
AdaGaR: Adaptive Gabor Representation for Dynamic Scene Reconstruction,"Jiewen Chan, Zhenjun Zhao, Yu-Lun Liu","J Chan, Z Zhao, YL Liu",openalex,AdaGaR: Adaptive Gabor Representation for Dynamic Scene Reconstruction,1.000,2026,"arXiv preprint arXiv:2601.00796, 2026",https://arxiv.org/abs/2601.00796,Reconstructing dynamic 3D scenes from monocular videos requires simultaneously capturing high-frequency appearance details and temporally continuous motion. Existing …,Cited by 7,"https://www.gupiaoq.com/scholar?cites=15089564882289013530&as_sdt=2005&sciodt=0,5&hl=en"
Frequency-Aligned Supervision for Few-shot Neural Rendering,"Suji Jang, Ue-Hwan Kim","S Jang, UH Kim",openalex,Frequency-aligned supervision for few-shot neural rendering,1.000,2026,"Pattern Recognition, 2026",https://www.sciencedirect.com/science/article/pii/S0031320326001482,"Neural rendering has shown significant potential in generating high-quality 3D scenes from sparse inputs. However, existing methods struggle to simultaneously capture both low …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=16395729852671351191&as_sdt=2005&sciodt=0,5&hl=en"
CoreEditor: Consistent 3D Editing via Correspondence-constrained Diffusion,"Zhe Zhu, Honghua Chen, Peng Li, Mingqiang Wei","Z Zhu, H Chen, P Li, M Wei",page-meta,CoreEditor: Correspondence-constrained Diffusion for Consistent 3D Editing,0.644,2025,"arXiv preprint arXiv:2508.11603, 2025",https://arxiv.org/abs/2508.11603,"Text-driven 3D editing seeks to modify 3D scenes according to textual descriptions, and most existing approaches tackle this by adapting pre-trained 2D image editors to multi-view …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=16354928907386099514&as_sdt=2005&sciodt=0,5&hl=en"
MeshLAM: Feed-Forward One-Shot Animatable Textured Mesh Avatar Reconstruction,"Yisheng He, Steven Hoi","Y He, S Hoi",openalex,MeshLAM: Feed-Forward One-Shot Animatable Textured Mesh Avatar Reconstruction,1.000,2026,"arXiv preprint arXiv:2604.22865, 2026",https://arxiv.org/abs/2604.22865,"We introduce MeshLAM, a feed-forward framework for one-shot animatable mesh head reconstruction that generates high-fidelity, animatable 3D head avatars from a single image …",,
Learning naturally aggregated appearance for efficient 3d editing,"Ka Leong Cheng, Qiuyu Wang, Zifan Shi, Kecheng Zheng, Yinghao Xu, Hao Ouyang, Qifeng Chen, Yujun Shen","KL Cheng, Q Wang, Z Shi, K Zheng…",openalex,Learning Naturally Aggregated Appearance for Efficient 3D Editing,1.000,2025,"… Conference on 3D …, 2025",https://ieeexplore.ieee.org/abstract/document/11125537/,"Neural radiance fields, which represent a 3D scene as a color field and a density field, have demonstrated great progress in novel view synthesis yet are unfavorable for editing due to …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=13431996674551012628&as_sdt=2005&sciodt=0,5&hl=en"
CoreEditor: Correspondence-constrained Diffusion for Consistent 3D Editing,"Zhe Zhu, Honghua Chen, Peng Li, Mingqiang Wei","Z Zhu, H Chen, P Li, M Wei",openalex,CoreEditor: Correspondence-Constrained Diffusion for Consistent 3D Editing,1.000,2026,"IEEE Transactions on Visualization …, 2026",https://ieeexplore.ieee.org/abstract/document/11363441/,Text-driven 3D editing is an emerging task that focuses on modifying scenes based on text prompts. Current methods often adapt pre-trained 2D image editors to multi-view …,Cited by 1,"https://www.gupiaoq.com/scholar?cites=10932111375147540889&as_sdt=2005&sciodt=0,5&hl=en"
Exploring dynamic novel view synthesis technologies for cinematography,"Adrian Azzarelli, Nantheera Anantrasirichai, David Bull","A Azzarelli, N Anantrasirichai, DR Bull",openalex,Exploring Dynamic Novel View Synthesis Technologies for Cinematography,1.000,2024,"arXiv preprint arXiv:2412.17532, 2024",https://arxiv.org/abs/2412.17532,"Novel view synthesis (NVS) has shown significant promise for applications in cinematographic production, particularly through the exploitation of Neural Radiance Fields …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=8889132778018165152&as_sdt=2005&sciodt=0,5&hl=en"
An Empirical Investigation of Data Calibration for Neural Radiance Fields–Analysis and Methods for Quality Improvements,"Åhrén, Olof",O Åhrén,page-meta,An Empirical Investigation of Data Calibration for Neural Radiance Fields – Analysis and Methods for Quality Improvements,1.000,2025,2025,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1968750,Abstract Neural Radiance Fields are a relatively new use of neural networks capable of representing objects and environments and producing previously unseen novel views …,,
