title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Learning-based multi-view stereo: A survey,"Fangjinhua Wang, Qingtian Zhu, Di Chang, Quankai Gao, Junlin Han, Tong Zhang, R. Hartley, Marc Pollefeys","F Wang, Q Zhu, D Chang, Q Gao, J Han…",openalex,Learning-Based Multi-View Stereo: A Survey,1.000,2026,"… on Pattern Analysis …, 2026",https://ieeexplore.ieee.org/abstract/document/11355839/,"3D reconstruction aims to recover the dense 3D structure of a scene. It plays an essential role in various applications such as Augmented/Virtual Reality (AR/VR), autonomous driving …",Cited by 46,"https://www.gupiaoq.com/scholar?cites=5808026264641050003&as_sdt=2005&sciodt=0,5&hl=en"
Neural window fully-connected crfs for monocular depth estimation,"Weihao Yuan, Xiaodong Gu, Zuozhuo Dai, Siyu Zhu, Ping Tan","W Yuan, X Gu, Z Dai, S Zhu…",openalex,Neural Window Fully-connected CRFs for Monocular Depth Estimation,1.000,2022,"Proceedings of the IEEE …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Yuan_Neural_Window_Fully-Connected_CRFs_for_Monocular_Depth_Estimation_CVPR_2022_paper.html,Estimating the accurate depth from a single image is challenging since it is inherently ambiguous and ill-posed. While recent works design increasingly complicated and powerful …,Cited by 633,"https://www.gupiaoq.com/scholar?cites=16177900808014938089&as_sdt=2005&sciodt=0,5&hl=en"
Local feature matching using deep learning: A survey,"Shibiao Xu, Shunpeng Chen, Rongtao Xu, Changwei Wang, Peng Lu, Li Guo","S Xu, S Chen, R Xu, C Wang, P Lu, L Guo",openalex,Local feature matching using deep learning: A survey,1.000,2024,"Information Fusion, 2024",https://www.sciencedirect.com/science/article/pii/S1566253524001222,"Local feature matching enjoys wide-ranging applications in the realm of computer vision, encompassing domains such as image retrieval, 3D reconstruction, and object recognition …",Cited by 135,"https://www.gupiaoq.com/scholar?cites=17777060725053931805&as_sdt=2005&sciodt=0,5&hl=en"
Detector-free structure from motion,"Xingyi He, Jiaming Sun, Yifan Wang, Sida Peng, Qixing Huang, Hujun Bao, Xiaowei Zhou","X He, J Sun, Y Wang, S Peng…",openalex,Detector-Free Structure from Motion,1.000,2024,"Proceedings of the …, 2024",http://openaccess.thecvf.com/content/CVPR2024/html/He_Detector-Free_Structure_from_Motion_CVPR_2024_paper.html,We propose a structure-from-motion framework to recover accurate camera poses and point clouds from unordered images. Traditional SfM systems typically rely on the successful …,Cited by 106,"https://www.gupiaoq.com/scholar?cites=1042526355384553308&as_sdt=2005&sciodt=0,5&hl=en"
Scal3r: Scalable test-time training for large-scale 3d reconstruction,"Tao Xie, Peishan Yang, Jin, Yudong, Yingfeng Cai, Wei Yin, Weiqiang Ren, Qian Zhang, Wei Hua, Sida Peng, Xiaoyang Guo, Xiaowei Zhou","T Xie, P Yang, Y Jin, Y Cai, W Yin…",openalex,Scal3R: Scalable Test-Time Training for Large-Scale 3D Reconstruction,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Xie_Scal3R_Scalable_Test-Time_Training_for_Large-Scale_3D_Reconstruction_CVPR_2026_paper.html,This paper addresses the task of large-scale 3D scene reconstruction from long video sequences. Recent feed-forward reconstruction models have shown promising results by …,Cited by 7,"https://www.gupiaoq.com/scholar?cites=5114732069624457248&as_sdt=2005&sciodt=0,5&hl=en"
Itermvs: Iterative probability estimation for efficient multi-view stereo,"Fangjinhua Wang, Silvano Galliani, Christoph Vogel, Marc Pollefeys","F Wang, S Galliani, C Vogel…",openalex,IterMVS: Iterative Probability Estimation for Efficient Multi-View Stereo,1.000,2022,"Proceedings of the …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Wang_IterMVS_Iterative_Probability_Estimation_for_Efficient_Multi-View_Stereo_CVPR_2022_paper.html,"We present IterMVS, a new data-driven method for high-resolution multi-view stereo. We propose a novel GRU-based estimator that encodes pixel-wise probability distributions of …",Cited by 198,"https://www.gupiaoq.com/scholar?cites=10217528380961894363&as_sdt=2005&sciodt=0,5&hl=en"
Dbarf: Deep bundle-adjusting generalizable neural radiance fields,"Yu Chen, Gim Hee Lee","Y Chen, GH Lee",openalex,DBARF: Deep Bundle-Adjusting Generalizable Neural Radiance Fields,1.000,2023,"… of the IEEE/CVF Conference on …, 2023",http://openaccess.thecvf.com/content/CVPR2023/html/Chen_DBARF_Deep_Bundle-Adjusting_Generalizable_Neural_Radiance_Fields_CVPR_2023_paper.html,Recent works such as BARF and GARF can bundle adjust camera poses with neural radiance fields (NeRF) which is based on coordinate-MLPs. Despite the impressive results …,Cited by 70,"https://www.gupiaoq.com/scholar?cites=15163958028132352004&as_sdt=2005&sciodt=0,5&hl=en"
Toward practical monocular indoor depth estimation,"Cho-Ying Wu, Jialiang Wang, C. Michael Hall, Ulrich Neumann, Shuochen Su","CY Wu, J Wang, M Hall…",openalex,Toward Practical Monocular Indoor Depth Estimation,1.000,2022,"Proceedings of the …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Wu_Toward_Practical_Monocular_Indoor_Depth_Estimation_CVPR_2022_paper.html,The majority of prior monocular depth estimation methods without groundtruth depth guidance focus on driving scenarios. We show that such methods generalize poorly to …,Cited by 116,"https://www.gupiaoq.com/scholar?cites=14631084137186211122&as_sdt=2005&sciodt=0,5&hl=en"
Deep geometry-aware camera self-calibration from video,"Annika Hagemann, Moritz Knorr, Christoph Stiller","A Hagemann, M Knorr, C Stiller",openalex,Deep geometry-aware camera self-calibration from video,1.000,2023,"Proceedings of the IEEE …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Hagemann_Deep_Geometry-Aware_Camera_Self-Calibration_from_Video_ICCV_2023_paper.html,"Accurate intrinsic calibration is essential for camera-based 3D perception, yet, it typically requires targets of well-known geometry. Here, we propose a camera self-calibration …",Cited by 49,"https://www.gupiaoq.com/scholar?cites=6644682587289771150&as_sdt=2005&sciodt=0,5&hl=en"
Efficient multi-view stereo by iterative dynamic cost volume,"Shaoqian Wang, Bo Li, Yuchao Dai","S Wang, B Li, Y Dai",crossref,Efficient Multi-view Stereo by Iterative Dynamic Cost Volume,1.000,2022,"… of the IEEE/CVF conference on …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Wang_Efficient_Multi-View_Stereo_by_Iterative_Dynamic_Cost_Volume_CVPR_2022_paper.html,"In this paper, we propose a novel iterative dynamic cost volume for multi-view stereo. Compared with other works, our cost volume is much lighter, thus could be processed with …",Cited by 78,"https://www.gupiaoq.com/scholar?cites=9228328506139728371&as_sdt=2005&sciodt=0,5&hl=en"
Dualrefine: Self-supervised depth and pose estimation through iterative epipolar sampling and refinement toward equilibrium,"Antyanta Bangunharcana, Ahmed Magd, Kyung-Soo Kim","A Bangunharcana, A Magd…",openalex,DualRefine: Self-Supervised Depth and Pose Estimation Through Iterative Epipolar Sampling and Refinement Toward Equilibrium,1.000,2023,"Proceedings of the IEEE …, 2023",http://openaccess.thecvf.com/content/CVPR2023/html/Bangunharcana_DualRefine_Self-Supervised_Depth_and_Pose_Estimation_Through_Iterative_Epipolar_Sampling_CVPR_2023_paper.html,"Self-supervised multi-frame depth estimation achieves high accuracy by computing matching costs of pixel correspondences between adjacent frames, injecting geometric …",Cited by 47,"https://www.gupiaoq.com/scholar?cites=16718922554370766814&as_sdt=2005&sciodt=0,5&hl=en"
Efficient multi-view stereo by dynamic cost volume and cross-scale propagation,"Shaoqian Wang, Bo Li, Yuchao Dai","S Wang, B Li, Y Dai",openalex,Efficient Multi-View Stereo by Dynamic Cost Volume and Cross-Scale Propagation,1.000,2024,"… Transactions on Circuits and Systems for …, 2024",https://ieeexplore.ieee.org/abstract/document/10522746/,"Currently, learning-based multi-view stereo (MVS) has been dominated by the pipeline of 3D cost volume and regularization network over the static cost volume for depth regression …",Cited by 25,"https://www.gupiaoq.com/scholar?cites=14512706593083661876&as_sdt=2005&sciodt=0,5&hl=en"
Rcp: Recurrent closest point for point cloud,"Xiaodong Gu, Chengzhou Tang, Weihao Yuan, Zuozhuo Dai, Siyu Zhu, Ping Tan","X Gu, C Tang, W Yuan, Z Dai…",openalex,RCP: Recurrent Closest Point for Point Cloud,1.000,2022,"Proceedings of the …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Gu_RCP_Recurrent_Closest_Point_for_Point_Cloud_CVPR_2022_paper.html,"Abstract 3D motion estimation including scene flow and point cloud registration has drawn increasing interest. Inspired by 2D flow estimation, recent methods employ deep neural …",Cited by 49,"https://www.gupiaoq.com/scholar?cites=6174376460507552089&as_sdt=2005&sciodt=0,5&hl=en"
