title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Deep learning-based object pose estimation: A comprehensive survey,"Jian Liu, Wei Sun, Hui Yang, Zhiwen Zeng, Chongpei Liu, Jin Zheng, Xingyu Liu, Hossein Rahmani, Nicu Sebe, Ajmal Mian","J Liu, W Sun, H Yang, Z Zeng, C Liu, J Zheng…",openalex,Deep Learning-Based Object Pose Estimation: A Comprehensive Survey,1.000,2024,"arXiv preprint arXiv …, 2024",https://arxiv.org/abs/2405.07801,"Object pose estimation is a fundamental computer vision problem with broad applications in augmented reality and robotics. Over the past decade, deep learning models, due to their …",Cited by 91,"https://www.gupiaoq.com/scholar?cites=1036600631325688515&as_sdt=2005&sciodt=0,5&hl=en"
What foundation models can bring for robot learning in manipulation: A survey,"Dingzhe Li, Yixiang Jin, Yu-Hao Sun, A Yong, Hongze Yu, Jun Shi, Xiaoshuai Hao, Hao Peng, Huaping Liu, Xiang Li, Xinde Li, Fuchun Sun, Jianwei Zhang, Bin Fang","D Li, Y Jin, Y Sun, YA, H Yu, J Shi…",openalex,What foundation models can bring for robot learning in manipulation: A survey,1.000,2024,"… Journal of Robotics …, 2024",https://journals.sagepub.com/doi/abs/10.1177/02783649251390579,"The realization of universal robots is an ultimate goal of researchers. However, a key hurdle in achieving this goal lies in the robots' ability to manipulate objects in their unstructured …",Cited by 36,"https://www.gupiaoq.com/scholar?cites=13128430669740901418&as_sdt=2005&sciodt=0,5&hl=en"
From visual understanding to 6D pose reconstruction: A cutting-edge review of deep learning-based object pose estimation,"Jing Wang, Guohan Liu, Wenxin Ding, Yuying Li, Wanying Song","J Wang, G Liu, W Ding, Y Li, W Song",openalex,From visual understanding to 6D pose reconstruction: A cutting-edge review of deep learning-based object pose estimation,1.000,2025,"Displays, 2025",https://www.sciencedirect.com/science/article/pii/S0141938225001064,"Object pose estimation, as a key problem in computer vision, plays an important role in tasks such as autonomous driving and robot navigation. However, most of the existing reviews …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=6983040269323949691&as_sdt=2005&sciodt=0,5&hl=en"
Intertrack: Tracking human object interaction without object templates,"Xianghui Xie, Jan Eric Lenssen, Gerard Pons‐Moll","X Xie, JE Lenssen, G Pons-Moll",openalex,InterTrack: Tracking Human Object Interaction Without Object Templates,1.000,2025,"… International Conference on …, 2025",https://ieeexplore.ieee.org/abstract/document/11125013/,Tracking human object interaction from videos is important to understand human behavior from the rapidly growing stream of video data. Previous video-based methods require …,Cited by 30,"https://www.gupiaoq.com/scholar?cites=6505236993967031466&as_sdt=2005&sciodt=0,5&hl=en"
One2Any: One-reference 6D pose estimation for any object,"Mengya Liu, Siyuan Li, Ajad Chhatkuli, Prune Truong, Luc Van Gool, Federico Tombari","M Liu, S Li, A Chhatkuli, P Truong…",openalex,One2Any: One-Reference 6D Pose Estimation for Any Object,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/CVPR2025/html/Liu_One2Any_One-Reference_6D_Pose_Estimation_for_Any_Object_CVPR_2025_paper.html,"Abstract 6D object pose estimation remains challenging for many applications due to dependencies on complete 3D models, multi-view images, or training limited to specific …",Cited by 11,"https://www.gupiaoq.com/scholar?cites=11047864406954793256&as_sdt=2005&sciodt=0,5&hl=en"
Imagenet3d: Towards general-purpose object-level 3d understanding,"Wufei Ma, Guanning Zeng, Guo‐Feng Zhang, Qihao Liu, L.J. Zhang, Adam Kortylewski, Yaoyao Liu, Alan Yuille","W Ma, G Zhang, Q Liu, G Zeng…",openalex,ImageNet3D: Towards General-Purpose Object-Level 3D Understanding,1.000,2024,"Advances in …, 2024",https://proceedings.neurips.cc/paper_files/paper/2024/hash/ae51515c1cfecf544963a527260f94e9-Abstract-Datasets_and_Benchmarks_Track.html,"A vision model with general-purpose object-level 3D understanding should be capable of inferring both 2D (eg, class name and bounding box) and 3D information (eg, 3D location …",Cited by 21,"https://www.gupiaoq.com/scholar?cites=4743639495812628971&as_sdt=2005&sciodt=0,5&hl=en"
Object Pose Transformer: Unifying Unseen Object Pose Estimation,"Li, Weihang, Garattoni, Lorenzo, Despinoy, Fabien, Navab, Nassir, Busam, Benjamin","W Li, L Garattoni, F Despinoy…",page-meta,Object Pose Transformer: Unifying Unseen Object Pose Estimation,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026F/html/Li_Object_Pose_Transformer_Unifying_Unseen_Object_Pose_Estimation_CVPRF_2026_paper.html,Learning model-free object pose estimation for unseen instances remains a central problem in 3D vision. Existing methods are typically separated into two paradigms: category-level …,,
High-resolution open-vocabulary object 6d pose estimation,"Jaime Corsetti, Davide Boscaini, Francesco Giuliari, Changjae Oh, Andrea Cavallaro, Fabio Poiesi","J Corsetti, D Boscaini, F Giuliari, C Oh…",openalex,High-resolution open-vocabulary object 6D pose estimation,1.000,2025,"… on Pattern Analysis …, 2025",https://ieeexplore.ieee.org/abstract/document/11216107/,The generalisation to unseen objects in the 6D pose estimation task is very challenging. While Vision-Language Models (VLMs) enable using natural language descriptions to …,Cited by 9,"https://www.gupiaoq.com/scholar?cites=6376966243752435017&as_sdt=2005&sciodt=0,5&hl=en"
BoxDreamer: Dreaming Box Corners for Generalizable Object Pose Estimation,"Yuanhong Yu, Xingyi He, Chen Zhao, Junhao Yu, Jie Yang, Ruizhen Hu, Yujun Shen, Xing Zhu, Xiaowei Zhou, Sida Peng","Y Yu, X He, C Zhao, J Yu, J Yang…",openalex,BoxDreamer: Dreaming Box Corners for Generalizable Object Pose Estimation,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Yu_BoxDreamer_Dreaming_Box_Corners_for_Generalizable_Object_Pose_Estimation_ICCV_2025_paper.html,"This paper presents a generalizable RGB-based approach for object pose estimation, specifically designed to address challenges in sparse-view settings. While existing methods …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=13496556692667723441&as_sdt=2005&sciodt=0,5&hl=en"
Diff-COPE: Diffusion-Based Category-Level 6D Object Pose Estimation,"Yingbo Tang, Zhiqiang Cao, Peiyu Guan, Xurong Gong, Mengyao Wang, Junzhi Yu","Y Tang, Z Cao, P Guan, X Gong…",openalex,Diff-COPE: Diffusion-Based Category-Level 6D Object Pose Estimation,1.000,2025,"IEEE Transactions on …, 2025",https://ieeexplore.ieee.org/abstract/document/11177583/,"Category-level 6D object pose estimation has gained increasing attention in applications of robotic manipulation, augmented reality, and scene understanding, due to its ability to …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=12783303192932228036&as_sdt=2005&sciodt=0,5&hl=en"
