title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Medical robotics for ultrasound imaging: current systems and future trends,"Felix von Haxthausen, Sven Böttger, Daniel L. Wulff, Jannis Hagenah, Verónica García‐Vázquez, Svenja Ipsen","F Von Haxthausen, S Böttger, D Wulff, J Hagenah…",openalex,Medical Robotics for Ultrasound Imaging: Current Systems and Future Trends,1.000,2021,"Current robotics …, 2021",https://link.springer.com/article/10.1007/s43154-020-00037-y,"Abstract Purpose of Review This review provides an overview of the most recent robotic ultrasound systems that have contemporary emerged over the past five years, highlighting …",Cited by 176,"https://www.gupiaoq.com/scholar?cites=7298616217443622974&as_sdt=2005&sciodt=0,5&hl=en"
"Towards autonomous selective harvesting: A review of robot perception, robot design, motion planning and control","Vishnu Rajendran, Bappaditya Debnath, Sariah Mghames, Willow Mandil, Soran Parsa, Simon Parsons, Amir M. Ghalamzan E.","V Rajendran, B Debnath, S Mghames…",openalex,"Towards autonomous selective harvesting: A review of robot perception, robot design, motion planning and control",1.000,2024,"Journal of Field …, 2024",https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.22230,This paper provides an overview of the current state‐of‐the‐art in selective harvesting robots (SHRs) and their potential for addressing the challenges of global food production. SHRs …,Cited by 91,"https://www.gupiaoq.com/scholar?cites=8388910291800420094&as_sdt=2005&sciodt=0,5&hl=en"
Visual room rearrangement,"Luca Weihs, Matt Deitke, Aniruddha Kembhavi, Roozbeh Mottaghi","L Weihs, M Deitke, A Kembhavi…",crossref,Visual Room Rearrangement,1.000,2021,"Proceedings of the …, 2021",http://openaccess.thecvf.com/content/CVPR2021/html/Weihs_Visual_Room_Rearrangement_CVPR_2021_paper.html,There has been a significant recent progress in the field of Embodied AI with researchers developing models and algorithms enabling embodied agents to navigate and interact …,Cited by 204,"https://www.gupiaoq.com/scholar?cites=711651683418692059&as_sdt=2005&sciodt=0,5&hl=en"
"Review of deep reinforcement learning-based object grasping: Techniques, open challenges, and recommendations","Marwan Qaid Mohammed, Lee Chung Kwek, Shing Chyi Chua","MQ Mohammed, KL Chung, CS Chyi",openalex,"Review of Deep Reinforcement Learning-Based Object Grasping: Techniques, Open Challenges, and Recommendations",1.000,2020,"IEEE access, 2020",https://ieeexplore.ieee.org/abstract/document/9210095/,The motivation behind our work is to review and analyze the most relevant studies on deep reinforcement learning-based object manipulation. Various studies are examined through a …,Cited by 148,"https://www.gupiaoq.com/scholar?cites=10143084153599932168&as_sdt=2005&sciodt=0,5&hl=en"
Object rearrangement using learned implicit collision functions,"Michael Danielczuk, Arsalan Mousavian, Clemens Eppner, Dieter Fox","M Danielczuk, A Mousavian…",openalex,Object Rearrangement Using Learned Implicit Collision Functions,1.000,2021,"2021 IEEE International …, 2021",https://ieeexplore.ieee.org/abstract/document/9561516/,"Robotic object rearrangement combines the skills of picking and placing objects. When object models are unavailable, typical collision-checking models may be unable to predict …",Cited by 119,"https://www.gupiaoq.com/scholar?cites=3759461028069961349&as_sdt=2005&sciodt=0,5&hl=en"
Visual-tactile pretraining and online multitask learning for humanlike manipulation dexterity,"Qi Ye, Qingtao Liu, Siyun Wang, Jiaying Chen, Jiaying Chen, Yu Cui, Ke Jin, H. Chen, Xuan Cai, Gaofeng Li, Jiming Chen, Jiming Chen","Q Ye, Q Liu, S Wang, J Chen, Y Cui, K Jin, H Chen…",openalex,Visual-tactile pretraining and online multitask learning for humanlike manipulation dexterity,1.000,2026,"Science Robotics, 2026",https://www.science.org/doi/abs/10.1126/scirobotics.ady2869,"Achieving humanlike dexterity with anthropomorphic multifingered robotic hands requires precise finger coordination. However, dexterous manipulation remains highly challenging …",Cited by 12,"https://www.gupiaoq.com/scholar?cites=5861394603420993554&as_sdt=2005&sciodt=0,5&hl=en"
Pin-wm: Learning physics-informed world models for non-prehensile manipulation,"Wenxuan Li, Hang Zhao, Zhiyuan Yu, Yu Du, Qin Zou, Ruizhen Hu, Kai Xü","W Li, H Zhao, Z Yu, Y Du, Q Zou, R Hu, K Xu",openalex,PIN-WM: Learning Physics-INformed World Models for Non-Prehensile Manipulation,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2504.16693,"While non-prehensile manipulation (eg, controlled pushing/poking) constitutes a foundational robotic skill, its learning remains challenging due to the high sensitivity to …",Cited by 24,"https://www.gupiaoq.com/scholar?cites=5506932520977386445&as_sdt=2005&sciodt=0,5&hl=en"
Haisor: Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,"Jia-Mu Sun, Jie Yang, Kaichun Mo, Yu‐Kun Lai, Leonidas Guibas, Lin Gao","JM Sun, J Yang, K Mo, YK Lai, L Guibas…",openalex,<scp>Haisor</scp> : Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,0.950,2024,"ACM Transactions on …, 2024",https://dl.acm.org/doi/abs/10.1145/3632947,3D scene synthesis facilitates and benefits many real-world applications. Most scene generators focus on making indoor scenes plausible via learning from training data and …,Cited by 30,"https://www.gupiaoq.com/scholar?cites=17753154401844037535&as_sdt=2005&sciodt=0,5&hl=en"
Semantically grounded object matching for robust robotic scene rearrangement,"Walter Goodwin, Sagar Vaze, Ioannis Havoutis, Ingmar Posner","W Goodwin, S Vaze, I Havoutis…",openalex,Semantically Grounded Object Matching for Robust Robotic Scene Rearrangement,1.000,2022,"… Conference on Robotics …, 2022",https://ieeexplore.ieee.org/abstract/document/9811817/,"Object rearrangement has recently emerged as a key competency in robot manipulation, with practical solutions generally involving object detection, recognition, grasping and high …",Cited by 52,"https://www.gupiaoq.com/scholar?cites=7692414162060120779&as_sdt=2005&sciodt=0,5&hl=en"
Large-scale multi-object rearrangement,"Eric Huang, Zhenzhong Jia, Matthew T. Mason","E Huang, Z Jia, MT Mason",openalex,Large-Scale Multi-Object Rearrangement,1.000,2019,"2019 international conference on …, 2019",https://ieeexplore.ieee.org/abstract/document/8793946/,"This paper describes a new robotic tabletop rearrangement system, and presents experimental results. The tasks involve rearranging as many as 30 to 100 blocks, sometimes …",Cited by 89,"https://www.gupiaoq.com/scholar?cites=2000512572730513698&as_sdt=2005&sciodt=0,5&hl=en"
