title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
"Humanoid locomotion and manipulation: Current progress and challenges in control, planning, and learning","Zhaoyuan Gu, Junheng Li, Wenlan Shen, Wenhao Yu, Zhaoming Xie, Stephen McCrory, Xianyi Cheng, Abdulaziz Shamsah, Robert Griffin, C. Karen Liu, Abderrahmane Kheddar, Xue Bin Peng, Yuke Zhu, Guanya Shi, Quan Nguyen, Gordon Cheng, Huijun Gao, Ye Zhao","Z Gu, J Li, W Shen, W Yu, Z Xie…",crossref,"Humanoid Locomotion and Manipulation: Current Progress and Challenges in Control, Planning, and Learning",1.000,2026,"IEEE/ASME …, 2026",https://ieeexplore.ieee.org/abstract/document/11456437/,"Humanoid robots hold great potential to perform various human-level skills, involving unified locomotion and manipulation in real-world settings. Driven by advances in machine learning …",Cited by 135,"https://www.gupiaoq.com/scholar?cites=14051502854232024965&as_sdt=2005&sciodt=0,5&hl=en"
Neural window fully-connected crfs for monocular depth estimation,"Weihao Yuan, Xiaodong Gu, Zuozhuo Dai, Siyu Zhu, Ping Tan","W Yuan, X Gu, Z Dai, S Zhu…",openalex,Neural Window Fully-connected CRFs for Monocular Depth Estimation,1.000,2022,"Proceedings of the IEEE …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Yuan_Neural_Window_Fully-Connected_CRFs_for_Monocular_Depth_Estimation_CVPR_2022_paper.html,Estimating the accurate depth from a single image is challenging since it is inherently ambiguous and ill-posed. While recent works design increasingly complicated and powerful …,Cited by 633,"https://www.gupiaoq.com/scholar?cites=16177900808014938089&as_sdt=2005&sciodt=0,5&hl=en"
"Review of deep reinforcement learning-based object grasping: Techniques, open challenges, and recommendations","Marwan Qaid Mohammed, Lee Chung Kwek, Shing Chyi Chua","MQ Mohammed, KL Chung, CS Chyi",openalex,"Review of Deep Reinforcement Learning-Based Object Grasping: Techniques, Open Challenges, and Recommendations",1.000,2020,"IEEE access, 2020",https://ieeexplore.ieee.org/abstract/document/9210095/,The motivation behind our work is to review and analyze the most relevant studies on deep reinforcement learning-based object manipulation. Various studies are examined through a …,Cited by 148,"https://www.gupiaoq.com/scholar?cites=10143084153599932168&as_sdt=2005&sciodt=0,5&hl=en"
An Improved Dyna-Q Algorithm for Mobile Robot Path Planning in Unknown Dynamic Environment,"Muleilan Pei, Hao An, Bo Liu, Changhong Wang","M Pei, H An, B Liu, C Wang",crossref,An Improved Dyna-<i>Q</i> Algorithm for Mobile Robot Path Planning in Unknown Dynamic Environment,0.978,2021,"IEEE Transactions on Systems …, 2021",https://ieeexplore.ieee.org/abstract/document/9495840/,"This article deals with the problem of mobile robot path planning in an unknown environment that contains both static and dynamic obstacles, utilizing a reinforcement …",Cited by 124,"https://www.gupiaoq.com/scholar?cites=4912214094808219122&as_sdt=2005&sciodt=0,5&hl=en"
End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,"Weihao Yuan, Kaiyu Hang, Danica Kragić, Michael Y. Wang, Johannes A. Stork","W Yuan, K Hang, D Kragic, MY Wang…",openalex,End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,1.000,2019,"Robotics and Autonomous …, 2019",https://www.sciencedirect.com/science/article/pii/S0921889018304913,Nonprehensile rearrangement is the problem of controlling a robot to interact with objects through pushing actions in order to reconfigure the objects into a predefined goal pose. In …,Cited by 84,"https://www.gupiaoq.com/scholar?cites=14994599905536756381&as_sdt=2005&sciodt=0,5&hl=en"
Punyo-1: Soft tactile-sensing upper-body robot for large object manipulation and physical human interaction,"Aimee Goncalves, Naveen Kuppuswamy, Andrew Beaulieu, Avinash Uttamchandani, Katherine M. Tsui, Alex Alspach","A Goncalves, N Kuppuswamy…",crossref,Punyo-1: Soft tactile-sensing upper-body robot for large object manipulation and physical human interaction,1.000,2022,"2022 IEEE 5th …, 2022",https://ieeexplore.ieee.org/abstract/document/9762117/,The manipulation of large objects and safe operation in the vicinity of humans are key capabilities of a general purpose domestic robotic assistant. We present the design of a soft …,Cited by 45,"https://www.gupiaoq.com/scholar?cites=15647032579608119242&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] High-transparency linear actuator using an electromagnetic brake for damping modulation in physical human–robot interaction,"Zahid Ullah, Thachapan Sermsrisuwan, Khemwutta Pornpipatsakul, Ronnapee Chaichaowarat, Witaya Wannasuphoprasit","Z Ullah, T Sermsrisuwan, K Pornpipatsakul…",crossref,High-Transparency Linear Actuator Using an Electromagnetic Brake for Damping Modulation in Physical Human–Robot Interaction,0.980,2024,"Journal of Sensor and …, 2024",https://www.mdpi.com/2224-2708/13/5/65,Enhancing the transparency of high-transmission-ratio linear actuators is crucial for improving the safety and capability of high-force robotic systems having physical contact …,Cited by 14,"https://www.gupiaoq.com/scholar?cites=14504028064198182198&as_sdt=2005&sciodt=0,5&hl=en"
Hyper-Depth: Hypergraph-based Multi-Scale Representation Fusion for Monocular Depth Estimation,"Lin Bie, S W Li, Yifan Feng, Yue Gao","L Bie, S Li, Y Feng, Y Gao",openalex,Hyper-Depth: Hypergraph-Based Multi-Scale Representation Fusion for Monocular Depth Estimation,1.000,2025,"Proceedings of the IEEE/CVF …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Bie_Hyper-Depth_Hypergraph-based_Multi-Scale_Representation_Fusion_for_Monocular_Depth_Estimation_ICCV_2025_paper.html,Monocular depth estimation (MDE) is a fundamental problem in computer vision with wide-ranging applications in various downstream tasks. While multi-scale features are …,Cited by 2,"https://www.gupiaoq.com/scholar?cites=13878337727594317585&as_sdt=2005&sciodt=0,5&hl=en"
Four-arm collaboration: Two dual-arm robots work together to manipulate tethered tools,"Daniel Sanchez, Weiwei Wan, Kensuke Harada","D Sanchez, W Wan, K Harada",crossref,Four-Arm Collaboration: Two Dual-Arm Robots Work Together to Manipulate Tethered Tools,1.000,2021,"IEEE/ASME Transactions on …, 2021",https://ieeexplore.ieee.org/abstract/document/9534689/,This article presents a planner for a master dual-arm robot to manipulate tethered tools with the help of an assistant dual-arm robot. The assistant robot assists the master robot by …,Cited by 25,"https://www.gupiaoq.com/scholar?cites=15487445766822364715&as_sdt=2005&sciodt=0,5&hl=en"
Stereo matching by self-supervision of multiscopic vision,"Weihao Yuan, Yazhan Zhang, Bingkun Wu, Siyu Zhu, Ping Tan, Michael Yu Wang, Qifeng Chen","W Yuan, Y Zhang, B Wu, S Zhu, P Tan…",openalex,Stereo Matching by Self-supervision of Multiscopic Vision,1.000,2021,"2021 IEEE/RSJ …, 2021",https://ieeexplore.ieee.org/abstract/document/9636616/,"Self-supervised learning for depth estimation possesses several advantages over supervised learning. The benefits of no need for ground-truth depth, online fine-tuning, and …",Cited by 26,"https://www.gupiaoq.com/scholar?cites=3162118693286257716&as_sdt=2005&sciodt=0,5&hl=en"
