title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Neural window fully-connected crfs for monocular depth estimation,"Weihao Yuan, Xiaodong Gu, Zuozhuo Dai, Siyu Zhu, Ping Tan","W Yuan, X Gu, Z Dai, S Zhu…",openalex,Neural Window Fully-connected CRFs for Monocular Depth Estimation,1.000,2022,"Proceedings of the IEEE …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Yuan_Neural_Window_Fully-Connected_CRFs_for_Monocular_Depth_Estimation_CVPR_2022_paper.html,Estimating the accurate depth from a single image is challenging since it is inherently ambiguous and ill-posed. While recent works design increasingly complicated and powerful …,Cited by 633,"https://www.gupiaoq.com/scholar?cites=16177900808014938089&as_sdt=2005&sciodt=0,5&hl=en"
A survey on deep stereo matching in the twenties,"Fabio Tosi, Luca Bartolomei, Matteo Poggi","F Tosi, L Bartolomei, M Poggi",crossref,A Survey on Deep Stereo Matching in the Twenties,1.000,2025,"International Journal of Computer Vision, 2025",https://link.springer.com/article/10.1007/s11263-024-02331-0,"Stereo matching is close to hitting a half-century of history, yet witnessed a rapid evolution in the last decade thanks to deep learning. While previous surveys in the late 2010s covered …",Cited by 68,"https://www.gupiaoq.com/scholar?cites=15980092053809835165&as_sdt=2005&sciodt=0,5&hl=en"
Kick back & relax: Learning to reconstruct the world by watching slowtv,"Jaime Spencer, Simon Hadfield, Chris Russell, Richard Bowden","J Spencer, C Russell, S Hadfield…",openalex,Kick Back &amp; Relax: Learning to Reconstruct the World by Watching SlowTV,0.971,2023,"Proceedings of the …, 2023",http://openaccess.thecvf.com/content/ICCV2023/html/Spencer_Kick_Back__Relax_Learning_to_Reconstruct_the_World_by_ICCV_2023_paper.html,"Self-supervised monocular depth estimation (SS-MDE) has the potential to scale to vast quantities of data. Unfortunately, existing approaches limit themselves to the automotive …",Cited by 27,"https://www.gupiaoq.com/scholar?cites=12032080037728649114&as_sdt=2005&sciodt=0,5&hl=en"
The monocular depth estimation challenge,"Jaime Spencer, C. Stella Qian, Chris Russell, Simon Hadfield, Erich Graf, Wendy Adams, Andrew J. Schofield, James Elder, Richard Bowden, Heng Cong, Stefano Mattoccia, Matteo Poggi, Zeeshan Khan Suri, Yang Tang, Fabio Tosi, Hao Wang, Youmin Zhang, Yusheng Zhang, Chaoqiang Zhao","J Spencer, CS Qian, C Russell…",crossref,The Monocular Depth Estimation Challenge,1.000,2023,"Proceedings of the …, 2023",https://openaccess.thecvf.com/content/WACV2023W/MDEC/html/Spencer_The_Monocular_Depth_Estimation_Challenge_WACVW_2023_paper.html,This paper summarizes the results of the first Monocular Depth Estimation Challenge (MDEC) organized at WACV2023. This challenge evaluated the progress of self-supervised …,Cited by 40,"https://www.gupiaoq.com/scholar?cites=3340221194011874748&as_sdt=2005&sciodt=0,5&hl=en"
Ajna: Generalized deep uncertainty for minimal perception on parsimonious robots,"Nitin J. Sanket, Chahat Deep Singh, Cornelia Fermüller, Yiannis Aloimonos","NJ Sanket, CD Singh, C Fermüller, Y Aloimonos",crossref,Ajna: Generalized deep uncertainty for minimal perception on parsimonious robots,1.000,2023,"Science Robotics, 2023",https://www.science.org/doi/abs/10.1126/scirobotics.add5139,Robots are active agents that operate in dynamic scenarios with noisy sensors. Predictions based on these noisy sensor measurements often lead to errors and can be unreliable. To …,Cited by 19,"https://www.gupiaoq.com/scholar?cites=13898356073723914853&as_sdt=2005&sciodt=0,5&hl=en"
The second monocular depth estimation challenge,"Jaime Spencer, C. Stella Qian, Michaela Trescakova, Chris Russell, Simon Hadfield, Erich W. Graf, Wendy J. Adams, Andrew J. Schofield, James T. Elder, Richard Bowden, Ali Anwar, Hao Chen, Xiaozhi Chen, Kai Cheng, Yuchao Dai, Huynh Thai Hoa, Sadat Hossain, Jianmian Huang, Mohan Jing, Bo Li, Chao Li, Baojun Li, Zhiwen Liu, Stefano Mattoccia, Siegfried Mercelis, Myungwoo Nam, Matteo Poggi, Xiaohua Qi, Jiahui Ren, Yang Tang, Fabio Tosi, Linh Trinh, S. M. Nadim Uddin, Khan Muhammad Umair, Kaixuan Wang, Yufei Wang, Yixing Wang, Mochu Xiang, Guangkai Xu, Wei Yin, Jun Yu, Qi Zhang, Chaoqiang Zhao","J Spencer, CS Qian, M Trescakova…",openalex,The Second Monocular Depth Estimation Challenge,1.000,2023,"Proceedings of the …, 2023",https://openaccess.thecvf.com/content/CVPR2023W/MDEC/html/Spencer_The_Second_Monocular_Depth_Estimation_Challenge_CVPRW_2023_paper.html,This paper discusses the results for the second edition of the Monocular Depth Estimation Challenge (MDEC). This edition was open to methods using any form of supervision …,Cited by 18,"https://www.gupiaoq.com/scholar?cites=6944611886084573510&as_sdt=2005&sciodt=0,5&hl=en"
Unsupervised multi-spectrum stereo depth estimation for all-day vision,"Yubin Guo, Hui Kong, Shuo Gu","Y Guo, H Kong, S Gu",crossref,Unsupervised Multi-Spectrum Stereo Depth Estimation for All-Day Vision,1.000,2023,"IEEE Transactions on Intelligent …, 2023",https://ieeexplore.ieee.org/abstract/document/10313998/,"Over recent years, there has been an increase in research interest regarding depth estimation using multiple-spectrum images from Visible-Light (VIS) and Thermal-Infrared …",Cited by 12,"https://www.gupiaoq.com/scholar?cites=4671533259529929376&as_sdt=2005&sciodt=0,5&hl=en"
Self-distilled depth refinement with noisy poisson fusion,"Zhiguo Cao, Zihao Huang, Jiaqi Li, Yiran Wang, Ke Xian, Jianming Zhang, Jinghong Zheng","J Li, Y Wang, J Zheng, Z Huang…",crossref,Self-Distilled Depth Refinement with Noisy Poisson Fusion,1.000,2024,"Advances in …, 2024",https://proceedings.neurips.cc/paper_files/paper/2024/hash/81b8390039b7302c909cb769f8b6cd93-Abstract-Conference.html,"Depth refinement aims to infer high-resolution depth with fine-grained edges and details, refining low-resolution results of depth estimation models. The prevailing methods adopt tile …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=16844639046561765399&as_sdt=2005&sciodt=0,5&hl=en"
Binocular Stereo Vision in Remote Sensing: A Review,"Xing Li, Hongwei Zhou, Mingyu Sun, Bangshu Xiong, Yuchao Dai, Renjie He, Zhihua Chen, Zhibo Rao","X Li, H Zhou, M Sun, X Bangshu, D Yuchao…",crossref,Binocular Stereo Vision in Remote Sensing: A Review,1.000,2026,"Remote …, 2026",https://search.proquest.com/openview/2ae96598d0305ded0d7113f77c766321/1?pq-origsite=gscholar&cbl=2032338,"This survey identifies the unresolved bottlenecks—large disparity ranges, ill-posed regions, cross-sensor domain shift, and label scarcity—that should guide the design of next …",,
Kick back & relax++: Scaling beyond ground-truth depth with slowtv & cribstv,"Jaime Spencer, Chris Russell, Simon Hadfield, Richard Bowden","J Spencer, C Russell, S Hadfield, R Bowden",openalex,Kick Back &amp; Relax++: Scaling Beyond Ground-Truth Depth with SlowTV &amp; CribsTV,0.945,2024,"arXiv preprint arXiv …, 2024",https://arxiv.org/abs/2403.01569,"Self-supervised learning is the key to unlocking generic computer vision systems. By eliminating the reliance on ground-truth annotations, it allows scaling to much larger data …",Cited by 9,"https://www.gupiaoq.com/scholar?cites=13256184205229412675&as_sdt=2005&sciodt=0,5&hl=en"
